percentage,static,dynamic (q_size 4),dynamic (q_size 8),dynamic (q_size 16)
0,63.6612,40.3131,11.3128,11.9446
10,63.6629,44.4505,16.6002,20.8862
30,63.6533,59.907,25.365,32.4851
50,63.6513,79.4939,34.0526,42.0512
70,63.6737,105.214,40.3159,51.3735
90,63.651,124.656,43.7995,57.9904
100,63.4982,44.4979,15.5819,18.1915
