percentage,static,dynamic (q_size 16),dynamic_no_forward (q_size 32)
5,194.495,68.209,44.0936
10,194.509,62.2769,43.7759
20,194.499,55.4672,45.032
30,194.52,57.0375,56.206
40,194.526,65.8161,78.2477
50,194.534,80.4186,109.451
60,194.541,97.6514,148.401
70,194.527,113.599,196.575
80,194.538,125.63,254.175
90,194.548,130.603,319.994
100,195.093,126.283,393.469
