percentage,static,dynamic (q_size 16),dynamic_no_forward (q_size 32)
5,194.802,72.7631,35.6996
10,194.809,76.6548,34.768
20,194.839,91.7404,39.2016
30,194.877,120.919,51.9436
40,194.896,168.546,72.7562
50,194.921,236.273,102.211
60,194.925,320.595,138.813
70,194.942,416.678,182.96
80,194.956,519.976,233.415
90,194.967,630.081,291.567
100,195.101,143.45,357.88
