q_size,static,dynamic,dynamic_no_forward
1,194.772,231.641,231.717
2,194.772,162.443,158.892
4,194.772,185.74,144.812
8,194.772,126.657,88.5048
16,194.772,71.4628,58.4542
32,194.772,0,37.7802
64,194.772,0,27.6626
