q_size,static,dynamic,dynamic_no_forward
1,179503250,124175250,169964250
2,179503250,127393250,169964250
4,179503250,126880250,169365250
8,179503250,130250250,162037250
16,179503250,137135250,168014250
32,179503250,0,161813250
64,179503250,0,170348250
