q_size,static,dynamic,dynamic_no_forward
1,248878250,154763250,150977250
2,248878250,150000250,151617250
4,248878250,149837250,151625250
8,248878250,185875250,145178250
16,248878250,284648250,149150250
32,248878250,0,144846250
64,248878250,0,153186250
