percentage,static,dynamic (q_size 4),dynamic_no_forward (q_size 32)
5,237187250,123098250,141393250
10,230326250,133136250,134533250
20,218620250,127794250,142070250
30,209290250,125728250,154034250
40,196126250,125904250,145202250
50,188071250,118736250,142288250
60,178423250,115527250,147034250
70,170719250,116796250,138010250
80,163930250,124614250,130492250
90,146035250,114164250,128058250
100,121561250,133164250,130673250
