percentage,static,dynamic (q_size 4),dynamic (q_size 8),dynamic (q_size 16)
10,538.154,319.116,325.416,426.61
30,538.158,361.931,457.875,726.206
50,538.157,377.125,504.661,827.606
70,538.138,361.09,453.953,716.96
90,538.162,317.147,317.355,408.285
