percentage,static,dynamic (q_size 8),dynamic_no_forward (q_size 8)
5,63.6475,19.5911,21.9283
10,63.6566,20.7493,26.6187
20,63.6412,23.7415,36.5373
30,63.6667,26.4162,45.7122
40,63.6738,29.0736,55.482
50,63.662,33.5977,69.161
60,63.6802,37.1777,83.5256
70,63.6501,40.9422,98.105
80,63.6892,43.7262,109.409
90,63.6436,46.4219,119.846
100,63.4828,48.4142,131.251
