percentage,static,dynamic (q_size 16),dynamic_no_forward (q_size 32)
5,63.957,26.5943,20.8896
10,63.9619,26.5908,26.8825
20,63.9606,26.5779,38.6292
30,63.9604,26.5759,48.7935
40,63.9481,26.5961,57.61
50,63.9532,26.5516,69.5561
60,63.9585,26.609,81.1812
70,63.9663,26.6587,93.1652
80,63.9616,26.5559,103.519
90,63.935,26.5978,113.335
100,63.9653,26.6585,125.058
