q_size,static,dynamic,dynamic_no_forward
1,63.8668,83.7715,83.8858
2,63.8668,74.4329,75.6245
4,63.8668,73.9862,60.9155
8,63.8668,43.2635,31.3724
16,63.8668,24.9765,22.2217
32,63.8668,21.5976,13.4363
64,63.8668,44.4,8.51901
