q_size,static,dynamic,dynamic_no_forward
1,63.8216,83.6372,83.7826
2,63.8216,74.2285,75.3774
4,63.8216,71.1245,62.4417
8,63.8216,36.9253,59.5807
16,63.8216,24.0748,65.0997
32,63.8216,23.3231,66.9833
64,63.8216,44.9058,65.2249
