q_size,static,dynamic,dynamic_no_forward
1,128443250,123544250,121825250
2,128443250,109359250,111691250
4,128443250,89427250,91894250
8,128443250,67005250,66365250
16,128443250,50176250,51659250
32,128443250,52053250,36700250
64,128443250,83087250,35105250
