percentage,static,dynamic (q_size 16),dynamic_no_forward (q_size 32)
5,129876250,40628250,36019250
10,129936250,38645250,41979250
20,129475250,39109250,51613250
30,128755250,37110250,68279250
40,128068250,41346250,80426250
50,128698250,41522250,93676250
60,129144250,40577250,101966250
70,130299250,41467250,117191250
80,129676250,41032250,131791250
90,129721250,34584250,140644250
100,129151250,36784250,153251250
