q_size,static,dynamic,dynamic_no_forward
1,179630250,118462250,120343250
2,179630250,110524250,117672250
4,179630250,86854250,83652250
8,179630250,67220250,72078250
16,179630250,62665250,63545250
32,179630250,50884250,62543250
64,179630250,82857250,50542250
