percentage,static,dynamic (q_size 4),dynamic (q_size 8),dynamic (q_size 16)
10,674.91,974.359,1560.36,1792.37
30,610.811,956.196,1550.33,2323.23
50,562.346,930.045,1530.79,2212.89
70,524.486,906.293,1509.63,2256.95
90,498.921,884.107,1488.92,1974.16
