q_size,static,dynamic,dynamic_no_forward
1,130338.25,120940.25,118978.25
2,130338.25,110468.25,110447.25
4,130338.25,91381.25,92417.25
8,130338.25,63172.25,68009.25
16,130338.25,0,50452.25
32,130338.25,0,36971.25
64,130338.25,0,29975.25
