percentage,static,dynamic_2qsize),dynamic_4qsize),dynamic_8qsize),dynamic_16qsize)
0,80373250,81525250,54858250,50008250,32440250
40,80336250,84155250,79294250,52005250,57936250
80,80799250,79086250,97592250,55295250,66848250
100,80761250,84285250,79816250,54299250,56760250
lowest_speedup,1,0.95,0.83,1.46,1.21
highest_speedup,1,1.02,1.47,1.61,2.48
gmean_speedup,1,0.98,1.06,1.52,1.56
