percentage,static,dynamic_2qsize),dynamic_4qsize),dynamic_8qsize),dynamic_16qsize)
0,187424250,111641250,101269250,75855250,58435250
40,183708250,119496250,115395250,82126250,80194250
80,187246250,117417250,111914250,70945250,79142250
100,187718250,106910250,94925250,88935250,83934250
lowest_speedup,1,1.54,1.59,2.11,2.24
highest_speedup,1,1.76,1.98,2.64,3.21
gmean_speedup,1,1.64,1.77,2.36,2.5
