percentage,static,dynamic_2qsize),dynamic_4qsize),dynamic_8qsize),dynamic_16qsize)
0,67478250,54626250,42387250,36796250,17856250
40,71900250,57824250,58571250,52005250,40176250
80,66112250,74838250,90868250,52963250,47584250
100,66122250,57143250,47891250,33009250,25495250
lowest_speedup,1,0.88,0.73,1.25,1.39
highest_speedup,1,1.24,1.59,2.0,3.78
gmean_speedup,1,1.12,1.18,1.59,2.22
