percentage,static,dynamic_2qsize),dynamic_4qsize),dynamic_8qsize),dynamic_16qsize)
0,124525250,94048250,79178250,58884250,38056250
40,130006250,100398250,109453250,58186250,63292250
80,130285250,108913250,156650250,67207250,74028250
100,129962250,95542250,104757250,53488250,55644250
lowest_speedup,1,1.2,0.83,1.94,1.76
highest_speedup,1,1.36,1.57,2.43,3.27
gmean_speedup,1,1.29,1.18,2.17,2.29
