percentage,static,dynamic_4qsize,dynamic_8qsize,dynamic_16qsize,dynamic_32qsize,dynamic_64qsize
0,195.105,110.613,41.0465,36.5865,77.8564,177.2
40,195.121,137.285,53.1113,64.7462,117.176,235.459
80,195.156,238.774,88.2857,120.926,197.567,333.813
100,195.1,179.091,64.2,85.4548,139.431,245.441
lowest_speedup,1,0.82,2.21,1.61,0.99,0.58
highest_speedup,1,1.76,4.75,5.33,2.51,1.1
gmean_speedup,1,1.22,3.29,2.77,1.55,0.8
