percentage,static,dynamic_4qsize,dynamic_8qsize,dynamic_16qsize,dynamic_32qsize,dynamic_64qsize
0,63.9799,40.4988,14.7792,12.6775,27.6792,57.5095
40,63.9869,64.7881,29.0296,36.89,57.5863,104.091
80,64.005,104.163,43.5577,50.0565,77.4849,151.579
100,63.9768,44.4842,16.6467,18.2401,28.443,57.5552
lowest_speedup,1,0.61,1.47,1.28,0.83,0.42
highest_speedup,1,1.58,4.33,5.05,2.31,1.11
gmean_speedup,1,1.08,2.71,2.5,1.48,0.75
