percentage,static,dynamic_4qsize,dynamic_8qsize,dynamic_16qsize,dynamic_32qsize,dynamic_64qsize
0,557.421,265.475,143.576,194.916,160.537,337.684
40,557.42,391.122,226.345,804.478,353.253,572.484
80,557.42,347.4,199.143,585.85,293.721,495.429
100,557.378,297.057,282.661,287.733,395.079,506.511
lowest_speedup,1,1.43,1.97,0.69,1.41,0.97
highest_speedup,1,2.1,3.88,2.86,3.47,1.65
gmean_speedup,1,1.73,2.69,1.3800000000000001,1.96,1.19
