percentage,static,dynamic (q_size 4),dynamic (q_size 8),dynamic (q_size 16)
10,194.528,210.647,114.936,62.2751
30,194.54,183.155,102.702,57.1401
50,194.545,178.06,99.4628,80.5649
70,194.559,190.518,113.057,113.835
90,194.593,223.464,124.516,130.64
