percentage,static,dynamic (q_size 16),dynamic_no_forward (q_size 32)
5,78844250,22463250,36336250
10,79501250,25455250,35313250
20,80879250,24578250,36335250
30,80279250,26500250,36326250
40,80498250,26748250,36301250
50,79988250,25464250,36324250
60,80946250,24463250,86503250
70,80763250,22508250,88103250
80,81606250,26483250,89305250
90,81123250,22809250,86272250
100,80120250,22449250,88083250
