q_size,static,dynamic,dynamic_no_forward
1,80226250,68279250,73538250
2,80226250,57658250,57664250
4,80226250,51685250,47517250
8,80226250,38894250,42085250
16,80226250,0,29297250
32,80226250,0,30314250
64,80226250,0,27453250
