q_size,static,dynamic,dynamic_no_forward
1,80652250,70442250,63584250
2,80652250,22410250,51671250
4,80652250,80241250,47578250
8,80652250,53835250,55065250
16,80652250,0,54666250
32,80652250,0,53934250
64,80652250,0,52468250
