q_size,static,dynamic,dynamic_no_forward
1,80801250,91148250,89734250
2,80801250,72027250,74287250
4,80801250,65329250,64264250
8,80801250,48095250,46267250
16,80801250,29218250,36305250
32,80801250,51058250,35336250
64,80801250,83066250,35324250
