q_size,static,dynamic,dynamic_no_forward
1,371.958,441.969,489.833
2,371.958,309.162,351.045
4,371.958,348.962,319.886
8,371.958,239.999,319.829
16,371.958,0,320.01
32,371.958,0,321.874
64,371.958,0,319.732
