q_size,static,dynamic,dynamic_no_forward
1,386.057,490.952,513.975
2,386.057,413.676,428.324
4,386.057,441.268,321.882
8,386.057,281.636,203.221
16,386.057,0,130.384
32,386.057,0,75.8708
64,386.057,0,47.1702
