q_size,static,dynamic,dynamic_no_forward
1,354.578,491.468,490.812
2,354.578,436.428,436.68
4,354.578,350.229,302.393
8,354.578,216.826,180.102
16,354.578,121.733,122.145
32,354.578,149.867,73.9587
64,354.578,260.356,43.5885
