q_size,static,dynamic,dynamic_no_forward
1,0.368151,0.502556,0.521946
2,0.368151,0.423855,0.434065
4,0.368151,0.402143,0.303671
8,0.368151,0.253697,0.168053
16,0.368151,0,0.151812
32,0.368151,0,0.114463
64,0.368151,0,0.064395
