q_size,static,dynamic,dynamic_no_forward
1,354.724,456.963,470.875
2,354.724,337.279,372.593
4,354.724,289.878,320.684
8,354.724,209.687,293.621
16,354.724,174.167,335.927
32,354.724,248.57,345.304
64,354.724,412.942,329.958
