q_size,static,dynamic,dynamic_no_forward
1,354.726,422.206,467.835
2,354.726,295.29,335.127
4,354.726,333.252,305.753
8,354.726,229.192,305.669
16,354.726,0,305.678
32,354.726,0,307.827
64,354.726,0,305.671
