q_size,static,dynamic,dynamic_no_forward
1,597.515,749.421,478.861
2,597.515,718.167,674.828
4,597.515,919.847,617.535
8,597.515,708.752,617.738
16,597.515,709.359,628.644
32,597.515,792.059,685.583
64,597.515,1178.98,716.382
