q_size,static,dynamic,dynamic_no_forward
1,716.156,801.727,789.455
2,716.156,885.622,867.096
4,716.156,950.599,899.43
8,716.156,1257.2,971.67
16,716.156,2084.69,1112.66
32,716.156,0,1170.58
64,716.156,0,1295.56
