q_size,static,dynamic,dynamic_no_forward
1,696.106,357.503,357.481
2,696.106,522.699,522.696
4,696.106,485.246,485.209
8,696.106,482.397,482.356
16,696.106,496.528,496.575
32,696.106,0,530.076
64,696.106,0,559.584
