percentage,static,dynamic (q_size 16),dynamic_no_forward (q_size 32)
5,695.699,706.054,530.157
10,674.75,702.797,550.711
20,639.995,694.228,576.385
30,610.777,684.634,
40,584.766,674.295,584.836
50,562.11,664.585,573.866
60,542.023,656.066,557.417
70,524.572,652.349,538.809
80,509.783,656.645,519.786
90,498.791,672.469,501.155
100,457.039,709.449,487.753
