percentage,static,dynamic (q_size 4),dynamic_no_forward (q_size 16)
5,696.021,485.21,496.57
10,675.002,506.252,515.378
20,640.044,533.571,541.24
30,610.311,542.661,551.825
40,584.315,540.158,549.983
50,561.932,529.595,539.725
60,541.863,514.508,524.119
70,524.381,497.215,506.203
80,509.512,480.217,488.409
90,499.317,465.914,471.966
100,457.047,459.082,459.064
