q_size,static,dynamic,dynamic_no_forward
1,72552250,67708250,67024250
2,72552250,58942250,58670250
4,72552250,50947250,48928250
8,72552250,33750250,38895250
16,72552250,34784250,38997250
32,72552250,0,30104250
64,72552250,0,34479250
