q_size,static,dynamic,dynamic_no_forward
1,72612.25,69148.25,68682.25
2,72612.25,59130.25,57565.25
4,72612.25,45658.25,45607.25
8,72612.25,38763.25,32492.25
16,72612.25,0,35422.25
32,72612.25,0,25806.25
64,72612.25,0,29420.25
