percentage,static,dynamic (q_size 16),dynamic_no_forward (q_size 32)
5,71438250,42610250,32530250
10,71263250,38647250,38176250
20,72185250,38657250,44513250
30,69509250,35892250,42251250
40,71102250,33096250,44941250
50,72954250,39623250,48262250
60,70985250,33853250,52639250
70,68196250,34917250,64106250
80,72374250,37879250,68151250
90,70252250,37013250,69257250
100,72390250,38886250,78897250
