q_size,static,dynamic,dynamic_no_forward
1,72344.25,69400.25,64414.25
2,72344.25,63202.25,63880.25
4,72344.25,48553.25,52130.25
8,72344.25,67088.25,53083.25
16,72344.25,0,57663.25
32,72344.25,0,52529.25
64,72344.25,0,53103.25
