percentage,static,dynamic (q_size 8),dynamic_no_forward (q_size 16)
5,185916250,62930250,63035250
10,185980250,65040250,75552250
20,184124250,73902250,82417250
30,184971250,69738250,81176250
40,183237250,64108250,90491250
50,185422250,62922250,92417250
60,186409250,68163250,79953250
70,186503250,74385250,77437250
80,184398250,66263250,82754250
90,179529250,65050250,60860250
100,184018250,51837250,61771250
