percentage,static,dynamic (q_size 16),dynamic_no_forward (q_size 32)
5,538.125,318.824,315.936
10,538.121,340.467,357.285
20,538.112,375.855,425.286
30,538.128,400.865,473.449
40,538.125,415.661,501.913
50,538.134,420.297,510.794
60,538.139,414.84,499.758
70,538.112,399.356,469.192
80,538.114,373.726,419.239
90,538.114,337.309,349.449
100,538.122,290.053,260.09
