q_size,static,dynamic,dynamic_no_forward
2,537.706,223.268,218.143
4,537.706,309.764,221.57
8,537.706,290.601,211.692
16,537.706,269.292,210.278
32,537.706,0,221.229
64,537.706,0,236.766
